Average Reward,Reward Min,Reward Max,Advantage Mean,Advantage Std,Entropy Loss,Policy Loss,Value Loss,,,,,,,,,,,Experiment,Measurement,Replication,Module,Module Display Path,Name,Count,Mean,StdDev
-2.8933,-8.5023,0.9648,0,1,0.7258,0.3683,307.6331,~?3?893.32,,,,,,,,,,PPOTraining,,#130,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?117.2
-2.6356,-7.1865,0.9648,0,1,0.7258,0.003,496.0406,~?3?635.55,,,,,,,,,,PPOTraining,,#131,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?132.8
-3.3408,-9.7197,0.979,0,1,0.7258,0.0028,745.7906,~?4?340.82,,,,,,,,,,PPOTraining,,#132,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?939.31
-3.8942,-9.4712,0.9813,0,1,0.7258,0.6655,1601.9563,~?4?894.16,,,,,,,,,,PPOTraining,,#133,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?972.25
-3.3688,-10.8835,0.9577,0,1,0.7258,0.0173,957.0189,~?4?368.82,,,,,,,,,,PPOTraining,,#134,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?079.44
-3.7362,-9.5492,0.9737,0,1,0.7258,0,1338.4331,~?4?736.19,,,,,,,,,,PPOTraining,,#135,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?931.48
-3.3962,-7.9681,0.9725,0,1,0.7258,0.0294,1184.8037,~?4?396.16,,,,,,,,,,PPOTraining,,#136,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?600.52
-2.9016,-7.1624,0.9682,0,1,0.7258,0.1214,539.2861,~?3?901.59,,,,,,,,,,PPOTraining,,#137,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?026.36
-2.2433,-5.9818,0.9831,0,1,0.7258,0.1324,155.1364,~?3?243.26,,,,,,,,,,PPOTraining,,#138,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?961.66
-3.4993,-9.3871,0.9553,0,1,0.7258,0,767.1752,~?4?499.26,,,,,,,,,,PPOTraining,,#139,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?386.75
-2.8699,-5.9818,0.9745,0,1,0.7258,0.6295,657.7164,~?3?869.94,,,,,,,,,,PPOTraining,,#140,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?032.69
-3.7691,-9.748,0.9633,0,1,0.7258,0.5179,1218.8356,~?4?769.13,,,,,,,,,,PPOTraining,,#141,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?951.11
-3.4863,-8.4901,0.9766,0,1,0.7258,0,945.7272,~?4?486.34,,,,,,,,,,PPOTraining,,#142,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?393.17
-3.518,-10.7101,0.9647,0,1,0.7258,0,986.8637,~?4?517.99,,,,,,,,,,PPOTraining,,#143,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?353.25
-3.6318,-7.7568,0.9782,0,1,0.7258,0.3895,1546.0262,~?4?631.79,,,,,,,,,,PPOTraining,,#144,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?462.39
-3.9727,-8.9969,0.946,0,1,0.7258,0.0004,708.7325,~?4?972.74,,,,,,,,,,PPOTraining,,#145,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?567.64
-2.9507,-8.2477,0.9673,0,1,0.7258,0.0148,1043.6608,~?3?950.67,,,,,,,,,,PPOTraining,,#146,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?620.25
-2.6147,-5.9318,0.9262,0,1,0.7258,0.022,389.7068,~?3?614.69,,,,,,,,,,PPOTraining,,#147,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?914.49
-2.6551,-5.9918,0.8905,0,1,0.7258,0.0846,412.7491,~?3?655.12,,,,,,,,,,PPOTraining,,#148,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?874.33
-2.5545,-5.9918,0.9369,0,1,0.7258,0.1077,330.1767,~?3?554.49,,,,,,,,,,PPOTraining,,#149,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?835.64
-2.7547,-5.9818,0.8932,0,1,0.7258,0.0721,409.7106,~?3?754.65,,,,,,,,,,PPOTraining,,#150,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?875.98
-2.9693,-7.0646,0.9155,0,1,0.7258,0.0156,514.951,~?3?969.35,,,,,,,,,,PPOTraining,,#151,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?949.51
-2.4575,-5.9918,0.9825,0,1,0.7258,0.0005,349.3661,~?3?457.52,,,,,,,,,,PPOTraining,,#152,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?906.02
-2.7806,-5.9818,0.9063,0,1,0.7258,0.0099,584.9996,~?3?780.61,,,,,,,,,,PPOTraining,,#153,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?966.91
-2.5631,-5.9918,0.9575,0,1,0.7258,0.1427,325.4895,~?3?563.09,,,,,,,,,,PPOTraining,,#154,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?928.44
-2.7641,-5.9418,0.7589,0,1,0.7258,0,398.5127,~?3?764.07,,,,,,,,,,PPOTraining,,#155,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?848.98
-2.5556,-5.9918,0.9519,0,1,0.7258,0.0099,397.5815,~?3?555.55,,,,,,,,,,PPOTraining,,#156,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?883.78
-2.8831,-6.64,0.8908,0,1,0.7258,0,587.2342,~?3?883.15,,,,,,,,,,PPOTraining,,#157,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?122.48
-2.5492,-5.9818,0.9633,0,1,0.7258,0.14,348.9758,~?3?549.18,,,,,,,,,,PPOTraining,,#158,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?858.68
-2.7382,-5.9818,0.9086,0,1,0.7258,0.0284,384.199,~?3?738.23,,,,,,,,,,PPOTraining,,#159,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?874.78
-2.5722,-6.0476,0.9718,0,1,0.7258,0.1818,400.8419,~?3?572.18,,,,,,,,,,PPOTraining,,#160,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?886.98
-2.7571,-5.9718,0.9731,0,1,0.7258,0.1475,440.2349,~?3?757.09,,,,,,,,,,PPOTraining,,#161,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?949.96
-2.7721,-6.359,0.9652,0,1,0.7258,0.0092,480.0115,~?3?772.06,,,,,,,,,,PPOTraining,,#162,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?037.72
-3.0346,-6.9609,0.9281,0,1,0.7258,0,550.8376,~?4?034.59,,,,,,,,,,PPOTraining,,#163,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?120.4
-2.7612,-5.9718,0.9766,0,1,0.7258,0.0469,416.9495,~?3?761.15,,,,,,,,,,PPOTraining,,#164,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?891.27
-2.6206,-5.9518,0.9743,0,1,0.7258,0.1346,313.9402,~?3?620.62,,,,,,,,,,PPOTraining,,#165,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?894.32
-2.8913,-5.9918,0.9253,0,1,0.7258,0.1325,350.6173,~?3?891.33,,,,,,,,,,PPOTraining,,#166,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?928.07
-2.7593,-5.9918,0.9409,0,1,0.7258,0,375.54,~?3?759.28,,,,,,,,,,PPOTraining,,#167,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?889.19
-2.8165,-7.2576,0.9182,0,1,0.7258,0.2513,600.5918,~?3?816.52,,,,,,,,,,PPOTraining,,#168,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?864.9
-2.6709,-5.9818,0.9737,0,1,0.7258,0.0379,463.5469,~?3?670.92,,,,,,,,,,PPOTraining,,#169,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?883.1
-2.7192,-5.9518,0.9483,0,1,0.7258,0.0665,382.8287,~?3?719.16,,,,,,,,,,PPOTraining,,#170,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?922.2
-2.5977,-5.9918,0.9625,0,1,0.7258,0.0581,460.8717,~?3?597.68,,,,,,,,,,PPOTraining,,#171,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?917.31
-2.6451,-5.9818,0.9743,0,1,0.7258,0.0289,352.1942,~?3?645.1,,,,,,,,,,PPOTraining,,#172,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?871.37
-3.0825,-7.0854,0.9575,0,1,0.7258,0,640.6767,~?4?082.48,,,,,,,,,,PPOTraining,,#173,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?056.6
-2.6505,-5.9518,0.9545,0,1,0.7258,0.087,359.798,~?3?650.48,,,,,,,,,,PPOTraining,,#174,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?894.95
-2.4858,-5.9918,0.9329,0,1,0.7258,0.0433,276.0767,~?3?485.77,,,,,,,,,,PPOTraining,,#175,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?882.41
-2.6895,-5.9722,0.9555,0,1,0.7258,0.0027,459.7688,~?3?689.53,,,,,,,,,,PPOTraining,,#176,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?892.31
-2.6427,-5.9818,0.9587,0,1,0.7258,0.0165,268.3937,~?3?642.66,,,,,,,,,,PPOTraining,,#177,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?969.8
-2.569,-5.9918,0.9696,0,1,0.7258,0.1221,267.8872,~?3?569.01,,,,,,,,,,PPOTraining,,#178,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?933.3
-2.7589,-6.4211,0.9322,0,1,0.7258,0.0677,424.7815,~?3?758.86,,,,,,,,,,PPOTraining,,#179,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?946.87
-2.6513,-5.9918,0.9625,0,1,0.7258,0.0244,547.2567,~?3?651.28,,,,,,,,,,PPOTraining,,#180,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?877.49
-2.64,-6.6969,0.9553,0,1,0.7258,0.0004,466.0565,~?3?639.99,,,,,,,,,,PPOTraining,,#181,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?869.81
-2.5188,-5.9318,0.9521,0,1,0.7258,0.065,352.0623,~?3?518.84,,,,,,,,,,PPOTraining,,#182,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?831.57
-2.7523,-5.9518,0.9201,0,1,0.7258,0.0055,416.4349,~?3?752.26,,,,,,,,,,PPOTraining,,#183,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?919.71
-2.8107,-5.9918,0.8184,0,1,0.7258,0,666.1434,~?3?810.7,,,,,,,,,,PPOTraining,,#184,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?852.4
-2.5444,-5.9818,0.9343,0,1,0.7258,0.1653,348.6641,~?3?544.37,,,,,,,,,,PPOTraining,,#185,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?910.46
-2.5991,-5.9718,0.9449,0,1,0.7258,0.0665,424.8287,~?3?599.08,,,,,,,,,,PPOTraining,,#186,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?925.73
-2.7267,-6.9892,0.9451,0,1,0.7258,0,410.7444,~?3?726.68,,,,,,,,,,PPOTraining,,#187,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?874.59
-2.6452,-5.9918,0.9147,0,1,0.7258,0.0146,554.1503,~?3?645.18,,,,,,,,,,PPOTraining,,#188,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?862.02
-2.7007,-5.9918,0.9325,0,1,0.7258,0.0114,415.4523,~?3?700.66,,,,,,,,,,PPOTraining,,#189,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?928.34
-2.5533,-5.9918,0.9498,0,1,0.7258,0.0269,362.8064,~?3?553.25,,,,,,,,,,PPOTraining,,#190,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?887.69
-2.59,-5.9718,0.9773,0,1,0.7258,0.004,600.6833,~?3?589.96,,,,,,,,,,PPOTraining,,#191,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?874.97
-2.7702,-5.9918,0.8889,0,1,0.7258,0.1215,369.4815,~?3?770.16,,,,,,,,,,PPOTraining,,#192,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?893.4
-2.6308,-6.3788,0.97,0,1,0.7258,0,480.2485,~?3?630.78,,,,,,,,,,PPOTraining,,#193,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?870.39
-2.6303,-5.9818,0.9371,0,1,0.7258,0.0184,489.5186,~?3?630.27,,,,,,,,,,PPOTraining,,#194,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?760.91
-2.5272,-5.9718,0.9702,0,1,0.7258,0.0002,301.8842,~?3?527.2,,,,,,,,,,PPOTraining,,#195,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?909.84
-2.6699,-5.9818,0.9326,0,1,0.7258,0,406.0179,~?3?669.87,,,,,,,,,,PPOTraining,,#196,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?863.62
-2.6533,-5.9918,0.9322,0,1,0.7258,0.2294,329.5825,~?3?653.33,,,,,,,,,,PPOTraining,,#197,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?890.54
-2.4425,-5.9618,0.9149,0,1,0.7258,0.0191,399.5126,~?3?442.51,,,,,,,,,,PPOTraining,,#198,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?798.96
-2.8149,-5.9718,0.9543,0,1,0.7258,0.0225,461.5542,~?3?814.95,,,,,,,,,,PPOTraining,,#199,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?896.2
-2.5521,-5.9918,0.951,0,1,0.7258,0.0065,410.1812,~?3?552.07,,,,,,,,,,PPOTraining,,#200,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?906.71
-2.818,-5.9818,0.7986,0,1,0.7258,0.0855,441.0271,~?3?817.97,,,,,,,,,,PPOTraining,,#201,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?863.88
-2.7747,-5.9718,0.9262,0,1,0.7258,0.0016,360.9552,~?3?774.66,,,,,,,,,,PPOTraining,,#202,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?920.56
-2.6629,-5.9918,0.9032,0,1,0.7258,0.2034,348.8403,~?3?662.87,,,,,,,,,,PPOTraining,,#203,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?875.42
-2.6932,-5.9918,0.9366,0,1,0.7258,0,527.7149,~?3?693.17,,,,,,,,,,PPOTraining,,#204,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?850.43
-2.7381,-5.9918,0.9549,0,1,0.7258,0.0332,399.9455,~?3?738.11,,,,,,,,,,PPOTraining,,#205,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?876.72
-2.5312,-5.9918,0.9027,0,1,0.7258,0,563.6768,~?3?531.24,,,,,,,,,,PPOTraining,,#206,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?845.13
-2.9002,-5.9818,0.8887,0,1,0.7258,0.2988,368.3852,~?3?900.17,,,,,,,,,,PPOTraining,,#207,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?883.11
-2.5012,-5.9918,0.9265,0,1,0.7258,0.0203,568.9351,~?3?501.24,,,,,,,,,,PPOTraining,,#208,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?973.51
-2.6882,-6.0205,0.8676,0,1,0.7258,0,488.7121,~?3?688.22,,,,,,,,,,PPOTraining,,#209,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?829.53
-2.5881,-6.0739,0.9745,0,1,0.7258,0.0348,368.5171,~?3?588.11,,,,,,,,,,PPOTraining,,#210,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?889.79
-2.6291,-5.9918,0.9719,0,1,0.7258,0.1051,415.3978,~?3?629.06,,,,,,,,,,PPOTraining,,#211,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?914.91
-2.7074,-5.9818,0.9313,0,1,0.7258,0,337.8673,~?3?707.38,,,,,,,,,,PPOTraining,,#212,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?870.91
-2.6052,-5.9718,0.9706,0,1,0.7258,0.1241,458.3025,~?3?605.23,,,,,,,,,,PPOTraining,,#213,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?914.3
-3.0201,-6.991,0.9738,0,1,0.7258,0,554.4888,~?4?020.1,,,,,,,,,,PPOTraining,,#214,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?174.55
-2.7112,-5.9918,0.954,0,1,0.7258,0.0989,304.4364,~?3?711.15,,,,,,,,,,PPOTraining,,#215,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?917.64
-2.6919,-5.9918,0.9844,0,1,0.7258,0.1167,319.0179,~?3?691.91,,,,,,,,,,PPOTraining,,#216,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?884.17
-2.6437,-5.9718,0.7435,0,1,0.7258,0,306.0522,~?3?643.72,,,,,,,,,,PPOTraining,,#217,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?858.78
-2.6206,-5.9518,0.9513,0,1,0.7258,0.0811,326.3983,~?3?620.63,,,,,,,,,,PPOTraining,,#218,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?862.41
-2.5229,-5.9818,0.9585,0,1,0.7258,0.0029,176.0498,~?3?522.86,,,,,,,,,,PPOTraining,,#219,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?878.2
-2.6683,-5.9918,0.9567,0,1,0.7258,0.0852,328.1817,~?3?668.26,,,,,,,,,,PPOTraining,,#220,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?905.73
-2.8719,-6.4035,0.9508,0,1,0.7258,0.5515,212.4006,~?3?871.93,,,,,,,,,,PPOTraining,,#221,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?933.4
-2.4444,-5.9818,0.9487,0,1,0.7258,0.2702,419.8831,~?3?444.4,,,,,,,,,,PPOTraining,,#222,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?892.78
-2.7939,-5.9918,0.9236,0,1,0.7258,0.0044,274.4369,~?3?793.9,,,,,,,,,,PPOTraining,,#223,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?875.01
-2.6021,-5.9718,0.964,0,1,0.7258,0,378.9277,~?3?602.14,,,,,,,,,,PPOTraining,,#224,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?872.44
-2.8486,-5.9918,0.955,0,1,0.7258,0.1194,374.1417,~?3?848.57,,,,,,,,,,PPOTraining,,#225,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?925.35
-2.6765,-5.9818,0.97,0,1,0.7258,0,354.2963,~?3?676.45,,,,,,,,,,PPOTraining,,#226,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?939.91
-2.6676,-5.9918,0.9305,0,1,0.7258,0,503.3489,~?3?667.61,,,,,,,,,,PPOTraining,,#227,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?894.77
-2.5344,-5.9718,0.9077,0,1,0.7258,0.1255,362.1591,~?3?534.37,,,,,,,,,,PPOTraining,,#228,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?825.56
-2.6073,-5.9918,0.9623,0,1,0.7258,0.2219,350.9725,~?3?607.35,,,,,,,,,,PPOTraining,,#229,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?895.54
-2.6326,-5.9318,0.9276,0,1,0.7258,0.0699,342.1316,~?3?632.65,,,,,,,,,,PPOTraining,,#230,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?897.21
-2.9343,-5.9718,0.8806,0,1,0.7258,0.0029,567.0877,~?3?934.3,,,,,,,,,,PPOTraining,,#231,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?860.68
-3.3447,-8.4288,0.8641,0,1,0.7258,0.0014,421.0335,~?4?344.74,,,,,,,,,,PPOTraining,,#232,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?480.36
-2.6567,-5.9918,0.9735,0,1,0.7258,0.0891,400.5261,~?3?656.71,,,,,,,,,,PPOTraining,,#233,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?888.66
-2.7244,-5.9818,0.9602,0,1,0.7258,0.0072,386.9195,~?3?724.38,,,,,,,,,,PPOTraining,,#234,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?869.38
,,,,,,,,,,,,,,,,,,PPOTraining,,#235,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,215,,~?1?861.43
,,,,,,,,,,,,,,,,,,PPOTraining,,#236,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?971.29
,,,,,,,,,,,,,,,,,,PPOTraining,,#237,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?690.3
,,,,,,,,,,,,,,,,,,PPOTraining,,#238,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?159.32
,,,,,,,,,,,,,,,,,,PPOTraining,,#239,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?957.33
,,,,,,,,,,,,,,,,,,PPOTraining,,#240,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?851.3
,,,,,,,,,,,,,,,,,,PPOTraining,,#241,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?515.29
,,,,,,,,,,,,,,,,,,PPOTraining,,#242,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?338.71
,,,,,,,,,,,,,,,,,,PPOTraining,,#243,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?148.97
,,,,,,,,,,,,,,,,,,PPOTraining,,#244,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?412.8
,,,,,,,,,,,,,,,,,,PPOTraining,,#245,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?988.67
,,,,,,,,,,,,,,,,,,PPOTraining,,#246,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?5?242.08
,,,,,,,,,,,,,,,,,,PPOTraining,,#247,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?868.72
,,,,,,,,,,,,,,,,,,PPOTraining,,#248,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?604.99
,,,,,,,,,,,,,,,,,,PPOTraining,,#249,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?898.12
,,,,,,,,,,,,,,,,,,PPOTraining,,#250,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?961.1
,,,,,,,,,,,,,,,,,,PPOTraining,,#251,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?718.32
,,,,,,,,,,,,,,,,,,PPOTraining,,#252,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?877.47
,,,,,,,,,,,,,,,,,,PPOTraining,,#253,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?242.91
,,,,,,,,,,,,,,,,,,PPOTraining,,#254,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?749.42
,,,,,,,,,,,,,,,,,,PPOTraining,,#255,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?993.17
,,,,,,,,,,,,,,,,,,PPOTraining,,#256,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?537.49
,,,,,,,,,,,,,,,,,,PPOTraining,,#257,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?4?474.3
,,,,,,,,,,,,,,,,,,PPOTraining,,#258,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?935.39
,,,,,,,,,,,,,,,,,,PPOTraining,,#259,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?303.74
,,,,,,,,,,,,,,,,,,PPOTraining,,#260,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?323.75
,,,,,,,,,,,,,,,,,,PPOTraining,,#261,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?573.12
,,,,,,,,,,,,,,,,,,PPOTraining,,#262,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?497.09
,,,,,,,,,,,,,,,,,,PPOTraining,,#263,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?304.28
,,,,,,,,,,,,,,,,,,PPOTraining,,#264,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?995.61
,,,,,,,,,,,,,,,,,,PPOTraining,,#265,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?064.66
,,,,,,,,,,,,,,,,,,PPOTraining,,#266,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?946.31
,,,,,,,,,,,,,,,,,,PPOTraining,,#267,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?953.86
,,,,,,,,,,,,,,,,,,PPOTraining,,#268,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?007.97
,,,,,,,,,,,,,,,,,,PPOTraining,,#269,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?845.39
,,,,,,,,,,,,,,,,,,PPOTraining,,#270,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?926.97
,,,,,,,,,,,,,,,,,,PPOTraining,,#271,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?491.02
,,,,,,,,,,,,,,,,,,PPOTraining,,#272,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?164.73
,,,,,,,,,,,,,,,,,,PPOTraining,,#273,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?050.77
,,,,,,,,,,,,,,,,,,PPOTraining,,#274,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?115.63
,,,,,,,,,,,,,,,,,,PPOTraining,,#275,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?106.21
,,,,,,,,,,,,,,,,,,PPOTraining,,#276,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?117
,,,,,,,,,,,,,,,,,,PPOTraining,,#277,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?795.93
,,,,,,,,,,,,,,,,,,PPOTraining,,#278,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?403.5
